Timestamp (0.175463) (sec.usec);Packet Number;Packet Size (bytes);RTT (usec);SRTT (usec);RTT Mean Deviation (JITTER?) (usec);Bytes in Flight;Bandwidth (Kbit/s);Congestion Window;Algorithm;Pacote perdido;Perdidos ao todo;Perdido ignorado;Largest sent;Video Quality
0.247223;1;1350;55825;55825;27912;1350;6695;32;APPLIM;;;;
0.247262;2;1350;55825;55825;27912;0;6695;32;APPLIM;;;;
0.307452;4;1350;57226;55999;21284;78;6674;32;APPLIM;;;;
0.319047;6;61;55506;55937;16086;17;6681;32;APPLIM;;;;
0.319082;7;17;55506;55937;16086;0;6681;32;APPLIM;;;;
0.439035;9;100;55775;55915;12105;1137;6684;32;APPLIM;;;;
0.439064;10;1118;55775;55915;12105;19;6684;32;APPLIM;;;;
0.439306;11;19;54012;55676;9554;0;6713;32;APPLIM;;;;
0.499160;13;95;56450;55772;7359;46884;6701;33;SS;;;;
0.499207;14;67;56450;55772;7359;46817;6910;34;SS;;;;
0.511308;15;76;51607;55250;6560;50791;7187;35;SS;;;;
0.511346;16;1350;51607;55250;6560;49441;7399;36;SS;;;;
0.522568;17;1350;62756;56187;6796;52141;7483;37;SS;;;;
0.522597;18;1350;62756;56187;6796;50791;7691;38;SS;;;;
0.535146;19;1350;75169;58559;9842;54841;7579;39;SS;;;;
0.535203;20;1350;75169;58559;9842;53491;7778;40;SS;;;;
0.547315;21;1350;87181;62136;14537;57541;7518;41;SS;;;;
0.547368;22;1350;87181;62136;14537;56191;7706;42;SS;;;;
0.558893;23;1350;98691;66705;20041;60241;7354;43;SS;;;;
0.558943;24;1350;98691;66705;20041;58891;7529;44;SS;;;;
0.570736;25;1350;108687;71951;25526;62941;7142;45;SS;;;;
0.570785;26;1350;108687;71951;25526;61591;7304;46;SS;;;;
0.571231;27;1350;107706;76420;28083;62941;7030;47;SS;;;;
0.571267;28;1350;107706;76420;28083;61591;7183;48;SS;;;;
0.582592;29;1350;117459;81549;31322;69691;6874;49;SS;;;;
0.582631;30;1350;117459;81549;31322;68341;7018;50;SS;;;;
0.595332;31;1350;128487;87415;35226;72391;6680;51;SS;;;;
0.595373;32;1350;128487;87415;35226;71041;6814;52;SS;;;;
0.607166;33;1350;138778;93835;39260;75091;6472;53;SS;;;;
0.607212;34;1350;138778;93835;39260;73741;6597;54;SS;;;;
0.619062;35;1350;149042;100735;43246;77791;6261;55;SS;;;;
0.619108;36;1350;149042;100735;43246;76441;6377;56;SS;;;;
0.630756;37;1350;159084;108028;47021;81436;6054;57;SS;;;;
0.630798;38;1350;159084;108028;47021;80086;6162;58;SS;;;;
0.642937;39;1350;169718;115738;50688;80961;5853;59;SS;;;;
0.642983;40;841;169718;115738;50688;80120;5954;60;SS;;;;
0.654863;41;1350;179608;123721;53983;78770;5664;61;SS;;;;
0.654901;42;1350;179608;123721;53983;77420;5758;62;SS;;;;
0.666638;43;1350;189750;131973;56994;76070;5487;63;SS;;;;
0.666689;44;1350;189750;131973;56994;74720;5575;64;SS;;;;
0.678681;45;1350;200244;140506;59813;73370;5320;65;SS;;;;
0.678724;46;1350;200244;140506;59813;72020;5403;66;SS;;;;
0.691388;47;1350;211228;149345;62540;70670;5161;67;SS;;;;
0.691449;48;1350;211228;149345;62540;69320;5239;68;SS;;;;
0.691662;49;1350;209971;156922;62061;67970;5061;69;SS;;;;
0.691703;50;1350;209971;156922;62061;66620;5135;70;SS;;;;
0.702584;51;1350;202926;162671;58046;65270;5026;71;SS;;;;
0.702640;52;1350;202926;162671;58046;63920;5097;72;SS;;;;
0.715119;53;1350;203428;167765;53723;62570;5012;73;SS;;;;
0.715167;54;1350;203428;167765;53723;61220;5082;74;SS;;;;
0.727182;55;1350;213954;173538;51839;59870;4980;75;SS;;;;
0.727232;56;1350;213954;173538;51839;58520;5047;76;SS;;;;
0.739196;57;1350;216234;178874;49553;57170;4962;77;SS;;;;
0.739246;58;1350;216234;178874;49553;55820;5027;77;APPLIM;;;;
0.751210;59;1350;226651;184845;49109;54470;4865;77;APPLIM;;;;
0.751245;60;1350;226651;184845;49109;53120;4865;77;APPLIM;;;;
0.763396;61;1350;227766;190209;47562;51770;4728;77;APPLIM;;;;
0.763429;62;1350;227766;190209;47562;50420;4728;77;APPLIM;;;;
